deal_qualilty,hyperlink,mile,name,object,other_attributes,price,self.year
GOOD DEAL,https://www.cars.com/vehicledetail/detail/726286628/overview/,"55,735 mi.",2014 Volkswagen Tiguan 4MOTION Auto S,,"Exterior Color: Gray,Interior Color: Black,Transmission: 6-Speed Automatic,Drivetrain: AWD","$12,999",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/704537971/overview/,"42,510 mi.",2014 Volkswagen Tiguan 4MOTION Auto SE,,"Exterior Color: Reflex Silver Metallic,Interior Color: Black,Transmission: 6-Speed Automatic,Drivetrain: AWD","$15,449",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/729485897/overview/,"28,300 mi.",2014 Nissan Juke S,,"Exterior Color: Bordeaux Black,Interior Color: Gray,Transmission: Automatic CVT,Drivetrain: AWD","$14,820",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/727026960/overview/,"41,584 mi.",2014 Honda CR-V EX-L,,"Exterior Color: White,Transmission: 5-Speed Automatic,Drivetrain: AWD","$15,890",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/728006279/overview/,"48,393 mi.",2014 Jeep Patriot Sport,,"Exterior Color: Steel Metallic,Interior Color: Dark Slate Gray,Transmission: Automatic CVT,Drivetrain: FWD","$12,500",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/725197801/overview/,"45,569 mi.",2014 Nissan Rogue SV,,"Exterior Color: Super Black,Interior Color: Charcoal,Transmission: Automatic CVT,Drivetrain: AWD","$14,500",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/715765257/overview/,"57,410 mi.",2014 Honda CR-V EX-L,,"Exterior Color: Gray,Interior Color: Black,Transmission: 5-Speed Automatic,Drivetrain: AWD","$17,334",2014
FAIR PRICE,https://www.cars.com/vehicledetail/detail/725003936/overview/,"61,539 mi.",2014 Nissan Rogue S,,"Exterior Color: Moonlight White,Interior Color: Black,Transmission: Automatic CVT,Drivetrain: AWD","$15,997",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/726572640/overview/,"29,613 mi.",2014 Toyota RAV4 LE,,"Exterior Color: Barcelona Red,Transmission: 6-Speed Automatic,Drivetrain: AWD","$18,444",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/696734860/overview/,"52,823 mi.",2014 Nissan Rogue SL,,"Exterior Color: Moonlight White,Interior Color: Black,Transmission: 1-Speed CVT w/OD,Drivetrain: AWD","$16,262",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/715963616/overview/,"52,072 mi.",2014 Honda CR-V EX,,"Exterior Color: Silver,Interior Color: Beige,Transmission: 5-Speed Automatic,Drivetrain: AWD","$15,580",2014
FAIR PRICE,https://www.cars.com/vehicledetail/detail/729207991/overview/,"118,732 mi.",2014 Jeep Cherokee Latitude,,"Exterior Color: Cashmere,Interior Color: Black,Transmission: 9-Speed Automatic,Drivetrain: 4WD","$14,999",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/730355346/overview/,"96,421 mi.",2014 Ford Explorer Base,,"Exterior Color: Silver,Interior Color: Medium Light Stone,Transmission: 6-SPEED A/T,Drivetrain: Four Wheel Drive","$14,999",2014
NOT A GOOD DEAL,https://www.cars.com/vehicledetail/detail/730705715/overview/,"83,273 mi.",2014 Nissan Pathfinder S,,"Exterior Color: Dark Slate,Interior Color: Charcoal,Transmission: Automatic CVT,Drivetrain: 4WD","$13,490",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/725197931/overview/,"53,835 mi.",2014 Honda CR-V EX,,"Exterior Color: Basque Red Pearl Ii,Interior Color: Beige,Transmission: 5-Speed Automatic,Drivetrain: AWD","$14,998",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/724633541/overview/,"73,383 mi.",2014 Jeep Grand Cherokee 4WD 4dr Limited,,"Exterior Color: Deep Cherry Red Crystal Pearlcoat,Interior Color: Black,Transmission: Automatic,Drivetrain: Four Wheel Drive","$19,995",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/720897166/overview/,"34,156 mi.",2014 Nissan Rogue SL,,"Exterior Color: Moonlight White,Interior Color: Silver,Transmission: Automatic CVT,Drivetrain: AWD","$17,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/730179887/overview/,"81,411 mi.",2014 BMW X3 xDrive28i,,"Exterior Color: Pearl White,Interior Color: Black,Transmission: Automatic,Drivetrain: AWD","$14,998",2014
